KPN,Description,Type,Cost
NI00029,HID iClass w/Keypad,READERS,366
NI00028,New Arch,READERS,287.71
NI00027,"1"" Stand-off straps",Conduit,0.65
NI00026,11B J metal box/cover,Conduit,6.5
NI00025,"1 "" set screw connectors",Conduit,0.9
NI00024,"1 "" set screw couplers",Conduit,0.75
NI00023,"1 "" conduit (10ft section)",Conduit,2.43
NI00022,POE switch enclosure - check with your local installation team for preferred model,BOXES,137.5
NI00021, AXIS T91A03 DIN Rail Clip B (5800-511) ,CCTV,13.98
NI00020,Ethernet Adapter,WIRE,100
NI00019,480 Watt Industrial Slim High-Efficiency Single Output DIN Rail Power Supply-48 VDC / 10.0 Amps,MISC,209.02
NI00018,P35C-Twinpoint 12' Speaker Wire with 3.5mm Plug,MISC,10
NI00017,Avigilon Pole Mount,CCTV,37
NI00016,FLIR A310 f 25° Thermographic Camera,CCTV,8697
NI00015,AXIS T94N02D Pendant Kit,AXIS,50.37
NI00014,"AXIS P3715-PLVE, 4MP 180 degree, IR Camera",AXIS,707.37
NI00013,"AXIS M5054, MINI DOME PTZ 720p, 2.2-11mm",AXIS,364.27
NI00012,"AXIS P3375-LVE, 2MP, 3-10mm, IR, Dome Camera",AXIS,729.27
NI00011,AXIS TP3603 Back Box,AXIS,43.07
NI00010,"AXIS P3245-V, 2MP 3.4-9.0mm Dome Camera",AXIS,364.27
NI00009,ACC7 Video Analystics Channel,CCTV,184
NI00008,Avigilon ACC Enterprise license for 1 channels,CCTV,178
NI00007,Patch Cable,WIRE,5
NI00006,HDMI Cable,WIRE,6
NI00005,Dymo Labels ,MISC,12.56
NI00004,Lightning Extension Cable,Wire,30
NI00003,Intel NUC PC,TEST,650
NI00002,Other Color,TEST,200
NI00001,Kiosk (Silver Color),TEST,2200
1800004,"SWITCH, Z-READ FOR FASTLANE",MISC,248
1800001,MAGNET DOOR CHANNEL MC-180,SENSORS,2.74
999999,Xprotect Professional Camera License SMA - 1 Year,SOFTWARE,17
999998,Xprotect Professional NVR Base SMA - 1 Year,SOFTWARE,59
999997,Xprotect Professional Camera License,SOFTWARE,112
999996,Xprotect Professional NVR Base,SOFTWARE,375
999995,Xprotect Express Camera License SMA - 1 Year,SOFTWARE,10
999994,Xprotect Express NVR Base SMA - 1 Year,SOFTWARE,0
999993,Xprotect Express Camera License,SOFTWARE,52
999992,Xprotect Express NVR Base,SOFTWARE,15
999991,Viking Assemblies with Concealed Reader (With and Without HC Button),PLATES,312
999990,Viking Assemblies with Arch Reader (With and Without HC Button),PLATES,312
999989,Trigon Flush Mount Assemble - Narrow With Surface Reader,PLATES,312
706649,SCH ND80JDEL/EU SPA 626 RX,LOCKS,506.59
528615,pneumatic exit button w5286-p15,MISC,174.72
488850,axis outdoor ready vandal resistant camera cabinet,MISC,196.37
202010,Axiom Hub SBC kit with Flash Card,V7,104.67
202003,Arch Reader Black Bezel,READERS,26
201995,L-COM NB201611-10F Weatherproof Enclosure with Dual Cooling Fans,CCTV,938.6
201982,Ubiquiti UISP EdgeSwitch PoE+ 48 (500W) ,VIDRECORD,885.83
201980,Glass for Architectural Reader (provide logo drawing when ordering,READERS,78.33
201979,KR-100 Architectural Reader without glass,READERS,199
201976,"Axis P1465-LE-3 LPR camera to cover one driving lane from 20-40ft distance. Network switch, enclosures, power and conduit quoted separately.",,977.47
201973,Adapter plate for ceiling mount (order as needed),,12
201972,Pendant Cap for outdoor camera (order as needed),,23
201968,Wall mount bracket for S150x camera (order as needed),,15
201959,KastleVideocom Rainhood,,36.08
201932,"Yale Interconnected Push Button Deadbolt - Satin Nickel - 4"" (YRC216)",LOCK,309.5
201931,"Yale Interconnected Push Button Lever Lock - Bronze - 4""",LOCK,309.5
201930,"Yale Interconnected Push Button Lever Lock - Bronze - 4""",LOCK,309.5
201929,Yale Residential Push Button Deadbolt Lock - Satin Nickel - Coastal Grade,LOCK,168
201928,Yale Residential Push Button Deadbolt Lock - Bronze - Marine Grade,LOCK,168
201927,Yale Interconnected Touchscreen Deadbolt ,LOCK,325.79
201926,Yale Lever Touchscreen - Satin Nickel,LOCK,210
201925,Yale Lever Touchscreen - Bronze,LOCK,210
201924,Yale Lever Key-Free Touchscreen - Satin Nickel,LOCK,187.33
201923,Yale Lever Key-Free Touchscreen - Bronze,LOCK,187.33
201922,Yale Touchscreen Deadbolt - Satin Nickel,LOCK,204
201921,Yale Touchscreen Deadbolt - Bronze,LOCK,204
201920,Yale Key-Free Touchscreen Deadbolt - Bronze,LOCK,171.47
201919,Yale Key-Free Touchscreen Deadbolt - Brass,LOCK,171.47
201918,Yale Key-Free Touchscreen Deadbolt - Satin Nickel,LOCK,171.47
201916,ELK-912B Heavy Duty Relay Module 12/24VDC SPDT Form C,POWER,6.6
201910,G2104-16 - 16 channel cloud gateway with 30day recording and AI analytics,CCTV,1619
201891,"Axis P3265-LVE 2MP Outdoor IR WDR IP Dome Camera, 22mm",AXIS,551.99
201890,"Axis P3267-LV 5MP Vandal Res. Fixed Dome IR WDR IP Camera, 3-8mm Varifocal",AXIS,588.99
201887,KR-100 Mullion Mount,READERS,146.45
201886,KR-100 Wall Mount Reader (includes trim plate),READERS,156.48
201885,AXIS P4705-PLVE 2MP Dual-Sensor 360 Deg. IR Camera w/Lightfinder 2-6mm,AXIS,707.37
201884,AXIS P3265-V 2MP Indoor Vandal Resistand Fixed Dome Camera 3.4-8.9mm,AXIS,447.02
201883,AXIS M5074 M50 Series HDTV 720p Palm-Sized WDR PTZ Camera ,AXIS,404.06
201881,In-Wall Receptacle (Z-14315),POINT CENTRAL,50.37
201880,Alarm.com Temperature Sensor,POINT CENTRAL,28.8
201879,Alarm.com Smart Thermostat HD - Color Touchscreen Display,POINT CENTRAL,195
201874,Alarm.com Water Sensor Rope,POINT CENTRAL,32.88
201873,Alarm.com Water Sensor Probe,POINT CENTRAL,36.71
201872,"Alarm.com Water Sensor - Standalone & Wireless, no rope or probe ",POINT CENTRAL,27.83
201871,Alarm.com Smart Water Valve + Meter,POINT CENTRAL,399
201870,Alarm.com Smart Thermostat,POINT CENTRAL,132.25
201869,Stelpro Z-wave Thermostat for Electric Baseboards and Convectors,POINT CENTRAL,99.99
201868,"Jasco  Z-Wave Plus Plug-in Smart Switch, Dual Plug: EmPower compatible Z-wave Appliance Module",POINT CENTRAL,32.58
201867,"Alarm.com Hub V2 Power Supply Adapter - Black 5ft, US Version, 5V/2A",POINT CENTRAL,7.6
201866,Climax 700 Series Z-wave Door/Window Contact Sensor with screw design,POINT CENTRAL,24.99
201865,Aeotec Z-wave Range Extender 7 (Z-Wave Repeater),POINT CENTRAL,24.42
201863,Jasco Z-wave Plus In-Wall Switch - Toggle - White Finish,POINT CENTRAL,27.83
201862,Jasco Z-wave Plus In-Wall Switch - Paddle - White Finish,POINT CENTRAL,27.83
201861,Jasco In-Wall Smart Dimmer - Toggle - White Finish,POINT CENTRAL,32.58
201860,Jasco In-Wall Smart Dimmer - Paddle - White Finish,POINT CENTRAL,32.58
